"id","type","boatClass","make","model","year","condition","length_ft","beam_ft","dryWeight_lb","hullMaterial","fuelType","numEngines","totalHP","maxEngineYear","minEngineYear","engineCategory","price","sellerId","city","state","zip","created_date","created_month","created_year"
7136629,"power","power-pontoon","Sylvan","Mirage Fish 8520 Cruise-n-Fish",2019,"new",20,NA,NA,"other","other",1,0,NA,NA,"",27979,55887,"Foley","AL",NA,"2019-07-02",7,2019
6892827,"power","power-cruiser","Silverton","34 Convertible",1988,"used",34,12.5,NA,"fiberglass","gasoline",2,540,1988,1988,"inboard",19900,62479,"Wildwood","NJ",NA,"2018-10-29",10,2018
6969120,"power","power-center","G3","Gator Tough 18 CCT",2019,"new",18.08,6.67,870,"aluminum","gasoline",1,90,2019,2019,"outboard",23499,34692,"Goldsboro","NC","27534","2019-01-25",1,2019
6905954,"power","power-aluminum","Tracker","Targa V-19 WT",2019,"new",19,8.5,2001,"aluminum","",1,175,NA,NA,"outboard",39235,155528,"Noblesville","IN","46060","2018-11-09",11,2018
7218225,"power","power-other","Carolina Skiff","18 JVX",2009,"used",18,NA,NA,"other","other",1,0,NA,NA,"",13495,34622,"St Marks","FL",NA,"2019-09-13",9,2019
7056953,"power","power-aluminum","Tracker","Targa V-19 WT",2019,"new",19,8.5,2001,"aluminum","",1,200,NA,NA,"outboard",41875,34422,"Forest Lake","MN","55025","2019-04-20",4,2019
6835550,"power","power-aluminum","Ranger","VS1882 SC",2018,"new",18.67,8,1790,"aluminum","gasoline",1,150,NA,NA,"outboard",31914,155595,"Hoffman Estates","IL","60192","2018-09-07",9,2018
7163904,"power","power-cruiser","Regal","3060 Regal",2006,"used",30,10,NA,"fiberglass","gasoline",1,0,NA,NA,"",49900,66930,"Jensen Beach","FL","34957","2019-07-30",7,2019
6674292,"power","power-bass","Tracker","Pro Team 195 TXW 40th Anniversary Edition",2018,"new",18.58,8.17,1215,"aluminum","",1,150,NA,NA,"outboard",29630,155543,"Henrico","VA","23233","2018-04-09",4,2018
7126264,"power","power-saltfish","Pursuit","2470 Walkaround",2004,"used",24,8.5,3800,"fiberglass","gasoline",1,225,NA,NA,"outboard-4s",46900,6654,"Hull","MA",NA,"2019-06-24",6,2019
7092394,"power","power-other","Ranger","520 Dvx",2002,"used",20.9,8,NA,"fiberglass","gasoline",1,225,NA,NA,"outboard",24995,39914,"Hesston","PA","16647","2019-05-23",5,2019
6674764,"power","power-cruiser","Bayliner","2255",1991,"used",22,8,NA,"fiberglass","gasoline",1,0,NA,NA,"inboard-outboard",3995,34567,"Everett","WA","98201","2018-04-09",4,2018
7164746,"power","power-fresh","Caravelle boat group","186 BAY",2018,"new",18,NA,NA,"other","other",1,0,NA,NA,"",28990,164670,"Ridgeland","SC",NA,"2019-07-30",7,2019
7132964,"power","power-center","Tidewater","230 LXF",2014,"used",23,8.83,3200,"fiberglass","gasoline",1,250,2014,2014,"outboard",59900,65591,"Kemah","TX","77565","2019-06-30",6,2019
7135299,"power","power-pontoon","Sun Tracker","Party Barge 22 DLX",2019,"new",21,9,NA,"aluminum","gasoline",1,0,NA,NA,"outboard",30855,31870,"Russells Point","OH",NA,"2019-07-02",7,2019
